"","selected_AIC","selected_BIC"
"1","L_BayesPI","L_BayesPI"
"2","P_DeltaSMf","P_DeltaSMf"
"3","P_BayesSMf","P_DeltaSMf"
"4","P_DecaySMf","P_DecaySMf"
"5","L_BayesPI","L_BayesPI"
"6","P_DecaySMf","P_DecaySMf"
"7","P_DecaySMf","P_DecaySMf"
"8","P_BayesUCB","P_BayesUCB"
"9","L_BayesPI","L_BayesPI"
"10","P_DecaySMf","P_DecaySMf"
"11","P_DecaySMf","P_DecaySMf"
"12","P_BayesPMU","P_BayesPMU"
"13","P_BayesUCB","P_BayesUCB"
"14","L_BayesPI","L_BayesPI"
"15","P_DecaySMf","P_DecaySMf"
"16","P_DeltaSMf","P_DeltaSMf"
"17","P_DecaySMf","P_DecaySMf"
"18","P_DecaySMf","P_DecaySMf"
"19","P_BayesPMU","P_BayesPMU"
"20","P_DecaySMf","P_DecaySMf"
"21","P_DecaySMf","P_DecaySMf"
"22","L_DecaySMf","L_DecaySMf"
"23","P_BayesPMU","L_DecaySMf"
"24","P_BayesUCB","P_BayesUCB"
"25","P_DecaySMf","P_DecaySMf"
"26","P_BayesUCB","P_BayesUCB"
"27","P_DecaySMf","P_DecaySMf"
"28","L_BayesUCB","L_BayesUCB"
"29","P_DecaySMf","P_DecaySMf"
"30","P_DeltaSMf","P_DeltaSMf"
"31","P_DecaySMf","P_DecaySMf"
"32","P_BayesPMU","P_BayesPMU"
"33","P_BayesPMU","L_DeltaSMf"
"34","P_BayesUCB","L_BayesUCB"
"35","P_DeltaSMf","P_DeltaSMf"
"36","P_DeltaSMf","P_DeltaSMf"
"37","P_BayesPMU","P_BayesPMU"
"38","P_DecaySMf","L_DecaySMf"
"39","L_BayesPI","L_BayesPI"
"40","P_DeltaSMf","P_DeltaSMf"
"41","L_BayesPI","L_BayesPI"
"42","P_DeltaSMf","P_DeltaSMf"
"43","P_DecaySMf","L_DecaySMf"
"44","P_BayesPMU","P_BayesPMU"
"45","P_DecaySMf","P_DecaySMf"
"46","P_BayesUCB","P_BayesUCB"
"47","P_DecaySMf","L_DecaySMf"
"48","L_BayesPI","L_BayesPI"
"49","L_BayesPI","L_BayesPI"
"50","P_DecaySMf","P_DecaySMf"
"51","P_BayesPMU","P_BayesPMU"
"52","P_DecaySMf","P_DecaySMf"
"53","P_DecaySMf","P_DecaySMf"
"54","P_BayesPMU","P_BayesPMU"
"55","P_DeltaSMf","P_DeltaSMf"
"56","P_DeltaSMf","P_DeltaSMf"
"57","L_DecaySMf","L_DecaySMf"
"58","P_BayesUCB","P_BayesUCB"
"59","P_DecaySMf","P_DecaySMf"
"60","P_BayesPMU","P_BayesPMU"
"61","P_BayesUCB","P_DeltaSMf"
"62","P_DeltaSMf","P_DeltaSMf"
"63","P_DecaySMf","P_DecaySMf"
"64","P_BayesPMU","P_BayesPMU"
"65","P_DecaySMf","P_DecaySMf"
"66","L_BayesPI","L_BayesPI"
"67","P_DecaySMf","L_DecaySMf"
"68","P_DeltaSMf","P_DeltaSMf"
"69","P_DecaySMf","P_DecaySMf"
"70","P_DeltaSMf","P_DeltaSMf"
"71","P_BayesPMU","P_BayesPMU"
"72","P_BayesPMU","P_BayesPMU"
"73","L_BayesPI","L_BayesPI"
"74","P_DecaySMf","P_DecaySMf"
"75","P_DecaySMf","L_DeltaSMf"
"76","P_DeltaSMf","P_DeltaSMf"
"77","P_BayesPMU","P_BayesPMU"
"78","P_BayesUCB","P_BayesUCB"
"79","P_DecaySMf","P_DecaySMf"
